Date,Open,High,Low,Close,Adj Close,Volume,Weekly Returns
2018-10-05,20.83,20.83,20.42,20.76,20.76,75600,
2018-10-08,20.75,20.889999,20.59,20.809998999999998,20.809998999999998,57100,
2018-10-09,20.76,20.950001,20.709999,20.76,20.76,45900,
2018-10-10,20.76,20.93,20.58,20.610001,20.610001,97200,
2018-10-11,20.57,20.74,20.209999,20.26,20.26,124300,
2018-10-12,20.51,20.52,20.25,20.469998999999998,20.469998999999998,140800,
2018-10-15,20.42,20.57,20.030001000000002,20.41,20.41,84800,
2018-10-16,20.49,20.709999,20.35,20.67,20.67,69400,-0.43541364296081203
2018-10-17,20.629998999999998,20.790001,20.59,20.65,20.65,85700,-0.7748135593220297
2018-10-18,20.58,20.58,20.07,20.23,20.23,81100,-2.6198714780029717
2018-10-19,20.190001000000002,20.459999,20.049999,20.049999,20.049999,53400,-2.793027570724571
2018-10-22,20.01,20.110001,19.67,19.799999,19.799999,65600,-2.3232374910726104
2018-10-23,19.6,19.85,19.200001,19.440001000000002,19.440001000000002,110100,-5.2983433488506275
2018-10-24,19.370001000000002,19.549999,19.16,19.16,19.16,74800,-6.524008350730689
2018-10-25,19.23,19.51,19.139999,19.32,19.32,90300,-6.98757763975156
2018-10-26,19.120001000000002,19.35,18.9,19.17,19.17,101300,-7.720396452790802
2018-10-29,19.290001,19.52,18.790001,18.889999,18.889999,68200,-7.093706039899743
2018-10-30,18.91,19.120001000000002,18.540001,18.870001000000002,18.870001000000002,254400,-6.253301205442424
2018-10-31,19.110001,19.290001,18.889999,19.059998999999998,19.059998999999998,175300,-3.8824765940439034
2018-11-01,18.780001000000002,18.780001000000002,14.57,14.97,14.97,822500,-29.859726118904483
2018-11-02,15.02,15.42,14.9,15.34,15.34,305000,-24.90221642764016
